00:00:00.000.002.500 M >System.Windows.MenuItem.SetText(const String<char>&, MenuControl*)
00:00:00.002.832.200 M            >System.Windows.Graphics.FillRectangleChecked(const Brush&, const Rect&)
00:00:00.002.832.300 M             >System.Windows.Graphics.FillRectangle(const Brush&, const Rect&)
00:00:00.002.832.300 M              >System.Windows.SolidBrush.NativeBrush() const
00:00:00.002.832.400 M              <System.Windows.SolidBrush.NativeBrush() const
00:00:00.002.850.600 M             <System.Windows.Graphics.FillRectangle(const Brush&, const Rect&)
00:00:00.002.850.700 M            <System.Windows.Graphics.FillRectangleChecked(const Brush&, const Rect&)
00:00:00.002.850.800 M            >System.Windows.StringFormat.StringFormat(const StringFormat&)
00:00:00.002.851.400 M            <System.Windows.StringFormat.StringFormat(const StringFormat&)
00:00:00.002.851.400 M            >System.Windows.StringFormat.SetAlignment(System.Windows.StringAlignment)
00:00:00.002.851.600 M            <System.Windows.StringFormat.SetAlignment(System.Windows.StringAlignment)
00:00:00.002.851.600 M            >System.Windows.PointF.PointF(float, float)
00:00:00.002.851.700 M            <System.Windows.PointF.PointF(float, float)
00:00:00.002.851.700 M            >System.Windows.SizeF.SizeF(float, float)
00:00:00.002.851.800 M            <System.Windows.SizeF.SizeF(float, float)
00:00:00.002.851.900 M            >System.Windows.RectF.RectF(const PointF&, const SizeF&)
00:00:00.002.852.000 M            <System.Windows.RectF.RectF(const PointF&, const SizeF&)
00:00:00.002.852.000 M            >System.Windows.MenuItem.IsEnabled() const
00:00:00.002.852.100 M            <System.Windows.MenuItem.IsEnabled() const
00:00:00.002.852.100 M            >System.Windows.Graphics.DrawStringChecked(const String<char>&, const Font&, const RectF&, const StringFormat&, const Brush&)
00:00:00.002.852.200 M             >System.Windows.Graphics.DrawString(const String<char>&, const Font&, const RectF&, const StringFormat&, const Brush&)
00:00:00.002.852.300 M              >System.Windows.Font.NativeFont() const
00:00:00.002.852.300 M              <System.Windows.Font.NativeFont() const
00:00:00.002.852.400 M              >System.Windows.StringFormat.NativeFormat() const
00:00:00.002.852.400 M              <System.Windows.StringFormat.NativeFormat() const
00:00:00.002.852.500 M              >System.Windows.SolidBrush.NativeBrush() const
00:00:00.002.852.500 M              <System.Windows.SolidBrush.NativeBrush() const
00:00:00.003.241.500 M             <System.Windows.Graphics.DrawString(const String<char>&, const Font&, const RectF&, const StringFormat&, const Brush&)
00:00:00.003.241.800 M            <System.Windows.Graphics.DrawStringChecked(const String<char>&, const Font&, const RectF&, const StringFormat&, const Brush&)
00:00:00.003.241.900 M            >System.Windows.StringFormat.~StringFormat()
00:00:00.003.242.300 M            <System.Windows.StringFormat.~StringFormat()
00:00:00.003.242.300 M           <System.Windows.MenuItem.DrawClosed(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.003.242.400 M          <System.Windows.MenuItem.Draw(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.003.242.500 M          >System.Windows.Component.NextSibling() const
00:00:00.003.242.500 M          <System.Windows.Component.NextSibling() const
00:00:00.003.242.900 M          >System.Windows.MenuControl.TextBrush() const
00:00:00.003.243.000 M          <System.Windows.MenuControl.TextBrush() const
00:00:00.003.243.000 M          >System.Windows.MenuControl.DisabledTextBrush() const
00:00:00.003.243.100 M          <System.Windows.MenuControl.DisabledTextBrush() const
00:00:00.003.243.100 M          >System.Windows.MenuControl.BackgroundBrush() const
00:00:00.003.243.100 M          <System.Windows.MenuControl.BackgroundBrush() const
00:00:00.003.243.200 M          >System.Windows.MenuControl.MouseOverBrush() const
