00:00:00.000.001.900 M >System.Windows.MenuItem.SetText(const String<char>&, MenuControl*)
00:00:00.001.415.800 M            >System.Windows.MenuItemBase.Location() const
00:00:00.001.415.800 M            <System.Windows.MenuItemBase.Location() const
00:00:00.001.415.900 M            >System.Windows.MenuItemBase.GetSize() const
00:00:00.001.415.900 M            <System.Windows.MenuItemBase.GetSize() const
00:00:00.001.416.000 M            >System.Windows.Rect.Rect(const Point&, const Size&)
00:00:00.001.416.100 M            <System.Windows.Rect.Rect(const Point&, const Size&)
00:00:00.001.416.200 M            >System.Windows.MenuBar.GetSelectedMenuItem() const
00:00:00.001.416.200 M            <System.Windows.MenuBar.GetSelectedMenuItem() const
00:00:00.001.416.300 M            >System.Windows.MenuItem.Selected() const
00:00:00.001.416.300 M            <System.Windows.MenuItem.Selected() const
00:00:00.001.416.400 M            >System.Windows.MenuItemBase.Level() const
00:00:00.001.416.400 M             >System.Windows.MenuItemBase.GetParentMenuItem() const
00:00:00.001.416.500 M              >System.Windows.Component.GetContainer() const
00:00:00.001.416.500 M              <System.Windows.Component.GetContainer() const
00:00:00.001.416.600 M              >System.Windows.Container.Parent() const
00:00:00.001.416.600 M              <System.Windows.Container.Parent() const
00:00:00.001.416.900 M             <System.Windows.MenuItemBase.GetParentMenuItem() const
00:00:00.001.417.000 M            <System.Windows.MenuItemBase.Level() const
00:00:00.001.417.000 M            >System.Windows.MenuItem.Selected() const
00:00:00.001.417.100 M            <System.Windows.MenuItem.Selected() const
00:00:00.001.417.200 M            >System.Windows.Graphics.FillRectangleChecked(const Brush&, const Rect&)
00:00:00.001.417.200 M             >System.Windows.Graphics.FillRectangle(const Brush&, const Rect&)
00:00:00.001.417.300 M              >System.Windows.SolidBrush.NativeBrush() const
00:00:00.001.417.300 M              <System.Windows.SolidBrush.NativeBrush() const
00:00:00.001.431.300 M             <System.Windows.Graphics.FillRectangle(const Brush&, const Rect&)
00:00:00.001.431.400 M            <System.Windows.Graphics.FillRectangleChecked(const Brush&, const Rect&)
00:00:00.001.431.500 M            >System.Windows.StringFormat.StringFormat(const StringFormat&)
00:00:00.001.432.100 M            <System.Windows.StringFormat.StringFormat(const StringFormat&)
00:00:00.001.432.100 M            >System.Windows.StringFormat.SetAlignment(System.Windows.StringAlignment)
00:00:00.001.432.300 M            <System.Windows.StringFormat.SetAlignment(System.Windows.StringAlignment)
00:00:00.001.432.300 M            >System.Windows.PointF.PointF(float, float)
00:00:00.001.432.400 M            <System.Windows.PointF.PointF(float, float)
00:00:00.001.432.500 M            >System.Windows.SizeF.SizeF(float, float)
00:00:00.001.432.500 M            <System.Windows.SizeF.SizeF(float, float)
00:00:00.001.432.600 M            >System.Windows.RectF.RectF(const PointF&, const SizeF&)
00:00:00.001.432.700 M            <System.Windows.RectF.RectF(const PointF&, const SizeF&)
00:00:00.001.432.700 M            >System.Windows.MenuItem.IsEnabled() const
00:00:00.001.432.800 M            <System.Windows.MenuItem.IsEnabled() const
00:00:00.001.432.900 M            >System.Windows.Graphics.DrawStringChecked(const String<char>&, const Font&, const RectF&, const StringFormat&, const Brush&)
00:00:00.001.432.900 M             >System.Windows.Graphics.DrawString(const String<char>&, const Font&, const RectF&, const StringFormat&, const Brush&)
00:00:00.001.433.000 M              >System.Windows.Font.NativeFont() const
00:00:00.001.433.000 M              <System.Windows.Font.NativeFont() const
00:00:00.001.433.100 M              >System.Windows.StringFormat.NativeFormat() const
00:00:00.001.433.100 M              <System.Windows.StringFormat.NativeFormat() const
00:00:00.001.433.200 M              >System.Windows.SolidBrush.NativeBrush() const
00:00:00.001.433.200 M              <System.Windows.SolidBrush.NativeBrush() const
00:00:00.001.827.300 M             <System.Windows.Graphics.DrawString(const String<char>&, const Font&, const RectF&, const StringFormat&, const Brush&)
00:00:00.001.827.800 M            <System.Windows.Graphics.DrawStringChecked(const String<char>&, const Font&, const RectF&, const StringFormat&, const Brush&)
00:00:00.001.827.900 M            >System.Windows.StringFormat.~StringFormat()
00:00:00.001.828.300 M            <System.Windows.StringFormat.~StringFormat()
00:00:00.001.828.400 M           <System.Windows.MenuItem.DrawClosed(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.001.828.500 M          <System.Windows.MenuItem.Draw(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.001.828.600 M          >System.Windows.Component.NextSibling() const
00:00:00.001.828.700 M          <System.Windows.Component.NextSibling() const
00:00:00.001.829.200 M          >System.Windows.MenuControl.TextBrush() const
00:00:00.001.829.200 M          <System.Windows.MenuControl.TextBrush() const
00:00:00.001.829.300 M          >System.Windows.MenuControl.DisabledTextBrush() const
00:00:00.001.829.300 M          <System.Windows.MenuControl.DisabledTextBrush() const
00:00:00.001.829.400 M          >System.Windows.MenuControl.BackgroundBrush() const
00:00:00.001.829.400 M          <System.Windows.MenuControl.BackgroundBrush() const
